id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
SCLA-TX1,transplant_center,MUSC Lancaster,South Carolina,Region  11,117,0,117,15,,,missing,2,"MUSC Lancaster, South Carolina (transplant center hospital)",
TXAS-TX1,transplant_center,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,Region  4,114,0,114,9,,,missing,2,"Baylor  Scott and White All Saints Medical Center-Fort Worth, Texas (transplant center hospital)",
MIBH-TX1,transplant_center,Corewell Health William Beaumont University Hospital,Michigan,Region  10,109,0,109,23,,,missing,2,"Corewell Health William Beaumont University Hospital, Michigan (transplant center hospital)",
NYEC-TX1,transplant_center,Erie County Medical Center,New York,Region  9,107,0,107,36,,,missing,2,"Erie County Medical Center, New York (transplant center hospital)",
ILVA-TX1,transplant_center,Edward Hines Jr. Veterans Administration Medical Center,Illinois,Region  7,105,0,105,19,,,missing,2,"Edward Hines Jr. Veterans Administration Medical Center, Illinois (transplant center hospital)",
COPM-TX1,transplant_center,AdventHealth Porter,Colorado,Region  8,104,0,104,10,,,missing,2,"AdventHealth Porter, Colorado (transplant center hospital)",
IAIV-TX1,transplant_center,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,Region  8,103,0,103,25,,,missing,2,"University of Iowa Hospitals and Clinics Transplant Programs, Iowa (transplant center hospital)",
MISH-TX1,transplant_center,Corewell Health Grand Rapids Hospitals,Michigan,Region  10,103,0,103,35,,,missing,2,"Corewell Health Grand Rapids Hospitals, Michigan (transplant center hospital)",
NJRW-TX1,transplant_center,Robert Wood Johnson University Hospital,New Jersey,Region  2,101,0,101,20,,,missing,2,"Robert Wood Johnson University Hospital, New Jersey (transplant center hospital)",
PRSJ-TX1,transplant_center,Auxilio Mutuo Hospital,Puerto Rico,Region  3,94,0,94,5,,,missing,2,"Auxilio Mutuo Hospital, Puerto Rico (transplant center hospital)",
MOSL-TX1,transplant_center,SSM Health Saint Louis University Hospital,Missouri,Region  8,93,0,93,16,,,missing,2,"SSM Health Saint Louis University Hospital, Missouri (transplant center hospital)",
VANG-TX1,transplant_center,Sentara Norfolk General Hospital,Virginia,Region  11,93,0,93,21,,,missing,2,"Sentara Norfolk General Hospital, Virginia (transplant center hospital)",
TXDR-TX1,transplant_center,Doctor's Hospital at Renaissance,Texas,Region  4,90,0,90,21,,,missing,2,"Doctor's Hospital at Renaissance, Texas (transplant center hospital)",
WASH-TX1,transplant_center,Providence Sacred Heart Medical Center & Children's Hospital,Washington,Region  6,90,0,90,5,,,missing,2,"Providence Sacred Heart Medical Center & Children's Hospital, Washington (transplant center hospital)",
CASH-TX1,transplant_center,Sharp Memorial Hospital,California,Region  5,86,0,86,19,,,missing,2,"Sharp Memorial Hospital, California (transplant center hospital)",
LAWK-TX1,transplant_center,Willis-Knighton Medical Center,Louisiana,Region  3,86,0,86,14,,,missing,2,"Willis-Knighton Medical Center, Louisiana (transplant center hospital)",
INSV-TX1,transplant_center,Ascension St. Vincent Hospital,Indiana,Region  10,85,0,85,22,,,missing,2,"Ascension St. Vincent Hospital, Indiana (transplant center hospital)",
NCEC-TX1,transplant_center,ECU Health Medical Center,North Carolina,Region  11,85,0,85,16,,,missing,2,"ECU Health Medical Center, North Carolina (transplant center hospital)",
TXPL-TX1,transplant_center,Medical City Fort Worth,Texas,Region  4,85,0,85,11,,,missing,2,"Medical City Fort Worth, Texas (transplant center hospital)",
TXSW-TX1,transplant_center,Scott and White Memorial Hospital,Texas,Region  4,85,0,85,16,,,missing,2,"Scott and White Memorial Hospital, Texas (transplant center hospital)",
COSL-TX1,transplant_center,Presbyterian/St Luke's Medical Center,Colorado,Region  8,82,0,82,15,,,missing,2,"Presbyterian/St Luke's Medical Center, Colorado (transplant center hospital)",
WISL-TX1,transplant_center,Aurora St. Luke's Medical Center,Wisconsin,Region  7,82,0,82,18,,,missing,2,"Aurora St. Luke's Medical Center, Wisconsin (transplant center hospital)",
WVCA-TX1,transplant_center,Charleston Area Medical Center,West Virginia,Region  2,79,0,79,18,,,missing,2,"Charleston Area Medical Center, West Virginia (transplant center hospital)",
WAVM-TX1,transplant_center,Virginia Mason Medical Center,Washington,Region  6,78,0,78,7,,,missing,2,"Virginia Mason Medical Center, Washington (transplant center hospital)",
PAGM-TX1,transplant_center,Geisinger Medical Center,Pennsylvania,Region  2,77,0,77,15,,,missing,2,"Geisinger Medical Center, Pennsylvania (transplant center hospital)",
ORGS-TX1,transplant_center,Legacy Good Samaritan Hospital and Medical Center,Oregon,Region  6,74,0,74,7,,,missing,2,"Legacy Good Samaritan Hospital and Medical Center, Oregon (transplant center hospital)",
CASJ-TX1,transplant_center,Saint Joseph Hospital,California,Region  5,72,0,72,11,,,missing,2,"Saint Joseph Hospital, California (transplant center hospital)",
OKMD-TX1,transplant_center,OU Medical Center,Oklahoma,Region  4,71,0,71,12,,,missing,2,"OU Medical Center, Oklahoma (transplant center hospital)",
MISM-TX1,transplant_center,Mercy Health Saint Mary's,Michigan,Region  10,68,0,68,14,,,missing,2,"Mercy Health Saint Mary's, Michigan (transplant center hospital)",
MORH-TX1,transplant_center,Research Medical Center,Missouri,Region  8,67,0,67,12,,,missing,2,"Research Medical Center, Missouri (transplant center hospital)",
TXJS-TX1,transplant_center,University of Texas Medical Branch at Galveston,Texas,Region  4,66,0,66,12,,,missing,2,"University of Texas Medical Branch at Galveston, Texas (transplant center hospital)",
DCGW-TX1,transplant_center,George Washington University Hospital,District of Columbia,Region  2,65,0,65,18,,,missing,2,"George Washington University Hospital, District of Columbia (transplant center hospital)",
ORVA-TX1,transplant_center,VA Portland Health Care System,Oregon,Region  6,65,0,65,6,,,missing,2,"VA Portland Health Care System, Oregon (transplant center hospital)",
CAPC-TX1,transplant_center,Lucile Salter Packard Children's Hospital at Stanford,California,Region  5,62,0,62,16,,,missing,2,"Lucile Salter Packard Children's Hospital at Stanford, California (transplant center hospital)",
GAMC-TX1,transplant_center,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,Region  3,59,0,59,11,,,missing,2,"Wellstar MCG Health, affiliated with Medical College of Georgia, Georgia (transplant center hospital)",
OHCM-TX1,transplant_center,Children's Hospital Medical Center,Ohio,Region  11,57,0,57,23,,,missing,2,"Children's Hospital Medical Center, Ohio (transplant center hospital)",
TXCM-TX1,transplant_center,Children's Medical Center of Dallas,Texas,Region  4,56,0,56,16,,,missing,2,"Children's Medical Center of Dallas, Texas (transplant center hospital)",
ILCH-TX1,transplant_center,Advocate Christ Medical Center,Illinois,Region  7,55,0,55,16,,,missing,2,"Advocate Christ Medical Center, Illinois (transplant center hospital)",
NYUM-TX1,transplant_center,State University of New York Upstate Medical University,New York,Region  9,55,0,55,17,,,missing,2,"State University of New York Upstate Medical University, New York (transplant center hospital)",
ILCM-TX1,transplant_center,Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,Region  7,54,0,54,17,,,missing,2,"Ann & Robert H. Lurie Children's Hospital of Chicago, Illinois (transplant center hospital)",
TNUK-TX1,transplant_center,University of Tennessee Medical Center at Knoxville,Tennessee,Region  11,54,0,54,16,,,missing,2,"University of Tennessee Medical Center at Knoxville, Tennessee (transplant center hospital)",
OHTC-TX1,transplant_center,The Christ Hospital,Ohio,Region  11,53,0,53,16,,,missing,2,"The Christ Hospital, Ohio (transplant center hospital)",
CACL-TX1,transplant_center,Children's Hospital Los Angeles,California,Region  5,52,0,52,9,,,missing,2,"Children's Hospital Los Angeles, California (transplant center hospital)",
TXHH-TX1,transplant_center,"Memorial Hermann Hospital, University of Texas at Houston",Texas,Region  4,52,0,52,14,,,missing,2,"Memorial Hermann Hospital, University of Texas at Houston, Texas (transplant center hospital)",
